year_built,total_units,n_buildings
1805,69,1
1809,10,1
1838,10,1
1880,13,1
1885,47,2
1888,16,1
1890,16,1
1891,16,1
1895,11,1
1896,16,1
1897,21,1
1898,42,1
1900,490,13
1901,20,1
1902,24,1
1903,18,1
1904,32,1
1905,58,3
1907,28,2
1909,27,1
1910,320,15
1911,95,5
1912,86,3
1913,54,3
1914,45,3
1915,174,6
1916,33,2
1917,175,8
1918,135,8
1919,42,2
1920,867,38
1921,29,2
1922,89,3
1923,220,9
1924,41,2
1925,264,13
1926,339,11
1927,482,18
1928,624,19
1929,781,20
1930,1229,47
1931,316,9
1932,157,8
1933,24,1
1934,246,7
1935,146,6
1936,41,1
1937,316,9
1938,261,8
1939,98,5
1940,846,37
1941,396,8
1943,121,4
1944,77,3
1945,213,13
1947,115,5
1948,337,8
1949,299,16
1950,3638,127
1951,736,27
1952,2097,63
1953,1583,53
1954,3021,96
1955,5372,149
1956,2527,73
1957,4596,101
1958,4189,112
1959,6140,103
1960,18677,329
1961,4483,60
1962,7709,99
1963,7663,77
1964,10993,82
1965,17763,170
1966,9071,56
1967,15899,107
1968,18228,114
1969,17544,100
1970,21146,153
1971,12981,75
1972,12846,61
1973,7625,35
1974,11209,57
1975,4893,37
1976,4800,19
1977,3681,22
1978,4026,19
1979,5258,25
1980,3338,27
1981,1347,7
1982,2935,20
1983,2183,15
1984,2027,13
1985,1360,14
1986,2480,16
1987,1516,13
1988,855,11
1989,1988,22
1990,930,13
1991,1272,14
1992,3148,44
1993,3341,31
1994,1931,21
1995,819,11
1996,946,12
1997,443,4
1999,38,1
2000,25,1
2001,211,2
2002,71,3
2003,551,6
2004,94,2
2005,1460,10
2006,738,6
2007,628,6
2008,824,9
2009,677,8
2010,1290,9
2011,847,5
2012,1194,7
2013,1141,6
2014,645,4
2015,650,4
2016,4876,8
2017,1364,6
2018,1317,4
2019,1178,5
